,sizer,sizec,goea_nsig,goea_bestp
0,384,3,4,0.009356519264477985
1,371,3,3,0.002310975368516779
2,386,3,2,0.005524585456141211
3,411,3,0,0.5232281345933859
4,532,3,0,0.15816228533843485
5,367,3,0,0.6127011903708437
6,516,3,4,0.02582119196455296
7,359,3,0,0.3471834565947579
8,403,3,0,0.11419667913758186
9,429,3,0,1.0
10,368,3,1,0.045995809052723866
11,358,3,0,0.08852745326635127
12,373,3,0,0.8365593120215621
13,383,3,2,0.004899861571294249
14,399,3,0,1.0
15,402,3,2,0.032970005416492115
16,357,3,0,1.0
17,382,3,0,0.6574036558961422
18,397,3,0,0.4511314897770453
19,368,3,0,0.17029865713638873
20,391,3,2,0.017601367017299814
